DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
01/01/2020,11,5,3,5,11,8,0,67,10,1032,0.375,11,5,7,113,113,113,0,1,8.7,météo très défavorable
02/01/2020,11,5,5,5,11,6,0,68,10,1033,11.25,11,4,6,113,113,116,0,1,8.7,météo très défavorable
03/01/2020,9,2,3,5,9,6,0.1,72,10,1031,50.375,9,4,6,116,119,116,0,1,6.9,météo très défavorable
04/01/2020,7,4,13,4,7,6,0.4,89,6.75,1031,69,7,5,3,143,119,176,0,1,3.3,météo très défavorable
05/01/2020,4,-1,10,2,4,3,0,90,8.625,1032,48,4,3,-1,116,116,116,0,1,8.7,météo très défavorable
06/01/2020,12,5,5,5,11,8,0,62,10,1032,0.125,12,4,6,113,113,113,0,1,8.7,météo très défavorable
07/01/2020,7,0,10,3,7,5,0,75,10,1030,26.5,7,3,2,116,116,119,0,1,8.7,météo très défavorable
08/01/2020,10,2,4,3,10,6,0,65,10,1031,8.5,10,2,5,113,116,116,0,1,8.7,météo très défavorable
09/01/2020,10,3,9,4,10,8,0,58,10,1030,33.875,10,2,4,116,116,119,0,1,6.9,météo très défavorable
10/01/2020,7,0,6,4,7,5,2.4,85,7.875,1028,68.875,7,5,4,176,263,353,0,1,3.4,météo très défavorable
11/01/2020,5,-1,5,3,5,0,0,90,6.625,1031,43.25,5,4,2,143,116,116,0,1,8.7,météo très défavorable
12/01/2020,9,-1,4,3,9,4,0,60,10,1031,24.375,9,1,6,116,116,116,0,1,8.7,météo très défavorable
13/01/2020,8,2,5,2,8,6,0,56,10,1027,66.625,8,0,3,116,122,122,0,1,3.4,météo très défavorable
14/01/2020,8,2,9,2,8,5,0,66,10,1023,17.125,8,2,1,116,116,116,0,1,8.7,météo très défavorable
